"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"107","C",9,154,1071,114,6.955,"MILT",1.25,"C7",158,913,8.00877192982456,"EXP 2","GSH1"
"108","B",9,233,2718,186,11.67,"MILT",0,"C7",153,2565,13.7903225806452,"EXP 2","GSH1"
"109","B",10,344,7904,258,22.98,"MILT",0,"C73",153,7751,30.0426356589147,"EXP 2","GSH1"
"110","C",10,259,1553,195,5.996,"MILT",1.25,"C73",158,1395,7.15384615384615,"EXP 2","GSH1"
"111","D",10,151,620,105,4.106,"MILT",2.5,"C73",234,386,3.67619047619048,"EXP 2","GSH1"
"112","E",10,161,480,118,2.981,"MILT",5,"C73",34,446,3.77966101694915,"EXP 2","GSH1"
"113","F",10,112,394,81,3.518,"MILT",10,"C73",105,289,3.5679012345679,"EXP 2","GSH1"
"114","G",10,55,98,37,1.782,"MILT",20,"C73",62,36,0.972972972972973,"EXP 2","GSH1"
"115","G",11,84,531,58,6.321,"MILT",20,"C85",62,469,8.08620689655172,"EXP 2","GSH1"
"116","F",11,113,704,77,6.23,"MILT",10,"C85",105,599,7.77922077922078,"EXP 2","GSH1"
"117","E",11,121,224,68,1.851,"MILT",5,"C85",34,190,2.79411764705882,"EXP 2","GSH1"
"118","D",11,91,250,55,2.747,"MILT",2.5,"C85",234,16,0.290909090909091,"EXP 2","GSH1"
"119","C",11,148,647,119,4.372,"MILT",1.25,"C85",158,489,4.10924369747899,"EXP 2","GSH1"
"120","B",11,214,3819,185,17.85,"MILT",0,"C85",153,3666,19.8162162162162,"EXP 2","GSH1"
"121","B",2,1645,9300,1139,5.653,"MILT",0,"C7",779,8521,7.4811237928007,"EXP 3","GSH1"
"122","C",2,1706,16058,1235,9.413,"MILT",1.25,"C7",752,15306,12.3935222672065,"EXP 3","GSH1"
"123","D",2,1796,3382,875,1.883,"MILT",2.5,"C7",483,2899,3.31314285714286,"EXP 3","GSH1"
"124","E",2,1547,2858,796,1.847,"MILT",5,"C7",723,2135,2.6821608040201,"EXP 3","GSH1"
"125","F",2,1291,1586,520,1.229,"MILT",10,"C7",1340,246,0.473076923076923,"EXP 3","GSH1"
"126","G",2,1380,1685,616,1.221,"MILT",20,"C7",1501,184,0.298701298701299,"EXP 3","GSH1"
