"pop","Cntrl_ama_per_cell","X","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","n_amas.y","corrected_ama","ama_per_cell","experiment","gene","viability","mean_value"
"REF",6.97328855494839,92,"F",7,80,47,20,0.5875,"SbIII","65",1,46,2.3,"EXP 2","GSH1",32.9830033832154,38.0217090780054
"REF",6.97328855494839,93,"E",7,67,61,20,0.9104,"SbIII","35",7,54,2.7,"EXP 2","GSH1",38.7191778846442,66.6466181026712
"REF",6.97328855494839,94,"D",7,95,264,51,2.779,"SbIII","25",6,258,5.05882352941176,"EXP 2","GSH1",72.545736341599,84.3496694217327
"REF",6.97328855494839,95,"C",7,133,500,87,3.759,"SbIII","10",3,497,5.71264367816092,"EXP 2","GSH1",81.9218025060373,106.563927811704
"REF",6.97328855494839,96,"B",7,205,1140,135,5.561,"SbIII","0",4,1136,8.41481481481481,"EXP 2","GSH1",120.672115437464,100
"REF",6.97328855494839,277,"G",3,261,320,116,2.759,"SbIII","100",215,105,0.905172413793103,"EXP 2","PGPA",12.9805672984918,27.7542312933348
"REF",6.97328855494839,278,"F",3,238,624,137,4.555,"SbIII","65",618,6,0.0437956204379562,"EXP 2","PGPA",0.628048303076142,38.0217090780054
"REF",6.97328855494839,279,"E",3,291,725,179,4.05,"SbIII","35",260,465,2.59776536312849,"EXP 2","PGPA",37.2530885916812,66.6466181026712
"REF",6.97328855494839,280,"D",3,517,994,260,3.823,"SbIII","25",451,543,2.08846153846154,"EXP 2","PGPA",29.9494495603444,84.3496694217327
"REF",6.97328855494839,281,"C",3,1286,4473,701,6.381,"SbIII","10",365,4108,5.8601997146933,"EXP 2","PGPA",84.0378204417596,106.563927811704
"REF",6.97328855494839,282,"B",3,1818,5678,976,5.818,"SbIII","0",279,5399,5.53176229508197,"EXP 2","PGPA",79.3278845625357,100
"C44",8.46666666666667,139,"G",5,271,345,130,1.273,"SbIII","100",225,120,0.923076923076923,"EXP 3","GSH1",10.9024833434282,9.82031872123397
"C44",8.46666666666667,140,"F",5,482,1634,300,3.39,"SbIII","65",188,1446,4.82,"EXP 3","GSH1",56.9291338582677,33.1028144047687
"C44",8.46666666666667,141,"E",5,781,4242,566,5.431,"SbIII","35",448,3794,6.70318021201413,"EXP 3","GSH1",79.1714198269385,58.6779966508489
"C44",8.46666666666667,142,"D",5,1276,6685,920,5.239,"SbIII","25",437,6248,6.79130434782609,"EXP 3","GSH1",80.2122560766861,53.8864480624741
"C44",8.46666666666667,143,"C",5,1818,15177,1372,8.348,"SbIII","10",436,14741,10.7441690962099,"EXP 3","GSH1",126.899634994605,107.283779099179
"C44",8.46666666666667,144,"B",5,1922,11407,1305,5.935,"SbIII","0",358,11049,8.46666666666667,"EXP 3","GSH1",100,100
"C58",6.98866498740554,175,"G",11,349,1011,217,2.897,"SbIII","100",225,786,3.6221198156682,"EXP 3","GSH1",51.8284940284835,28.1502240253488
"C58",6.98866498740554,176,"F",11,328,1062,222,3.238,"SbIII","65",188,874,3.93693693693694,"EXP 3","GSH1",56.333175850206,36.1677638093808
"C58",6.98866498740554,177,"E",11,545,1856,344,3.406,"SbIII","35",448,1408,4.09302325581395,"EXP 3","GSH1",58.5665969565017,50.6867897183699
"C58",6.98866498740554,178,"D",11,682,2142,393,3.141,"SbIII","25",437,1705,4.33842239185751,"EXP 3","GSH1",62.0779848465465,61.6337205978282
"C58",6.98866498740554,179,"C",11,1384,5378,819,3.886,"SbIII","10",436,4942,6.03418803418803,"EXP 3","GSH1",86.3424995340655,100.229294385684
"C58",6.98866498740554,180,"B",11,1212,5907,794,4.874,"SbIII","0",358,5549,6.98866498740554,"EXP 3","GSH1",100,100
"C6",15.1963746223565,163,"G",9,328,993,187,3.027,"SbIII","100",225,768,4.10695187165775,"EXP 3","GSH1",27.025866193215,13.3135450532102
"C6",15.1963746223565,164,"F",9,546,3517,392,6.441,"SbIII","65",188,3329,8.49234693877551,"EXP 3","GSH1",55.8840325394571,26.4801746964878
"C6",15.1963746223565,165,"E",9,577,4741,443,8.217,"SbIII","35",448,4293,9.69074492099323,"EXP 3","GSH1",63.770110712699,45.0157012966169
"C6",15.1963746223565,166,"D",9,945,9165,695,9.698,"SbIII","25",437,8728,12.558273381295,"EXP 3","GSH1",82.6399302029552,69.3613967412365
"C6",15.1963746223565,167,"C",9,1430,20995,1120,14.68,"SbIII","10",436,20559,18.35625,"EXP 3","GSH1",120.793613320079,98.747977836767
"C6",15.1963746223565,168,"B",9,1297,15448,993,11.91,"SbIII","0",358,15090,15.1963746223565,"EXP 3","GSH1",100,100
"C67",7.78502879078695,169,"B",10,1533,8470,1042,5.525,"SbIII","0",358,8112,7.78502879078695,"EXP 3","GSH1",100,100
"C67",7.78502879078695,170,"C",10,1712,9444,1102,5.516,"SbIII","10",436,9008,8.17422867513612,"EXP 3","GSH1",104.999337764939,106.245398516653
"C67",7.78502879078695,171,"D",10,1133,4801,770,4.237,"SbIII","25",437,4364,5.66753246753247,"EXP 3","GSH1",72.8004047234817,68.3096332750762
"C67",7.78502879078695,172,"E",10,723,2834,475,3.92,"SbIII","35",448,2386,5.02315789473684,"EXP 3","GSH1",64.5233053046818,45.4223259419144
"C67",7.78502879078695,173,"F",10,698,4073,512,5.835,"SbIII","65",188,3885,7.587890625,"EXP 3","GSH1",97.4677272096893,42.3043269543285
