"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"219","D",8,534,7937,439,14.86,"SbIII",25,"C76",267,7670,17.4715261958998,"EXP 4","GSH1"
"220","E",8,373,5731,315,15.36,"SbIII",35,"C76",36,5695,18.0793650793651,"EXP 4","GSH1"
"221","F",8,159,882,130,5.547,"SbIII",65,"C76",43,839,6.45384615384615,"EXP 4","GSH1"
"222","G",8,247,728,162,2.947,"SbIII",100,"C76",81,647,3.99382716049383,"EXP 4","GSH1"
"223","G",9,100,149,59,1.49,"SbIII",100,"C58",81,68,1.15254237288136,"EXP 4","GSH1"
"224","F",9,35,54,16,1.543,"SbIII",65,"C58",43,11,0.6875,"EXP 4","GSH1"
"225","E",9,179,928,126,5.184,"SbIII",35,"C58",36,892,7.07936507936508,"EXP 4","GSH1"
"226","D",9,351,3231,275,9.205,"SbIII",25,"C58",267,2964,10.7781818181818,"EXP 4","GSH1"
"227","C",9,878,10426,723,11.87,"SbIII",10,"C58",386,10040,13.8865836791148,"EXP 4","GSH1"
"228","B",9,781,8083,645,10.35,"SbIII",0,"C58",333,7750,12.015503875969,"EXP 4","GSH1"
"229","B",10,1384,13702,1090,9.9,"SbIII",0,"C7",333,13369,12.2651376146789,"EXP 4","GSH1"
"230","C",10,1548,19249,1265,12.43,"SbIII",10,"C7",386,18863,14.9114624505929,"EXP 4","GSH1"
"231","D",10,536,5384,431,10.04,"SbIII",25,"C7",267,5117,11.8723897911833,"EXP 4","GSH1"
"232","E",10,216,1484,173,6.87,"SbIII",35,"C7",36,1448,8.36994219653179,"EXP 4","GSH1"
"233","F",10,43,45,20,1.047,"SbIII",65,"C7",43,2,0.1,"EXP 4","GSH1"
"234","G",10,79,97,42,1.228,"SbIII",100,"C7",81,16,0.380952380952381,"EXP 4","GSH1"
"235","G",11,49,35,21,0.7143,"SbIII",100,"C44",81,0,0,"EXP 4","GSH1"
"236","F",11,54,113,31,2.093,"SbIII",65,"C44",43,70,2.25806451612903,"EXP 4","GSH1"
"237","E",11,78,468,57,6,"SbIII",35,"C44",36,432,7.57894736842105,"EXP 4","GSH1"
"238","D",11,86,485,61,5.64,"SbIII",25,"C44",267,218,3.57377049180328,"EXP 4","GSH1"
"239","C",11,1168,17430,1004,14.92,"SbIII",10,"C44",386,17044,16.9760956175299,"EXP 4","GSH1"
"240","B",11,966,12678,840,13.12,"SbIII",0,"C44",333,12345,14.6964285714286,"EXP 4","GSH1"
"241","B",2,665,101,75,1.347,"SbIII",0,"THP-1",101,0,0,"EXP 1","PGPA"
"242","C",2,1123,235,158,1.487,"SbIII",10,"THP-1",235,0,0,"EXP 1","PGPA"
"243","D",2,388,95,64,1.484,"SbIII",25,"THP-1",95,0,0,"EXP 1","PGPA"
"244","E",2,540,109,69,1.58,"SbIII",35,"THP-1",109,0,0,"EXP 1","PGPA"
"245","F",2,742,335,117,2.863,"SbIII",65,"THP-1",335,0,0,"EXP 1","PGPA"
"246","G",2,268,56,42,1.333,"SbIII",100,"THP-1",56,0,0,"EXP 1","PGPA"
"247","G",3,89,20,12,1.667,"SbIII",100,"REF",56,0,0,"EXP 1","PGPA"
"248","F",3,83,20,14,1.429,"SbIII",65,"REF",335,0,0,"EXP 1","PGPA"
"249","E",3,771,3057,440,6.948,"SbIII",35,"REF",109,2948,6.7,"EXP 1","PGPA"
